Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 7210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 32810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 58410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 84010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 109610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 135210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 160810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 186410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 212010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 237610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 263210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 288810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 314410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 340010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 365610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 391210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 416810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 442410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 468010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 493610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 519210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 544810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 570410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 596010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 621610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 647210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 672810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 698410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 724010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 749610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 775210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 800810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 826410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 852010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 877610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 903210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 928810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 954410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 980010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1005610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1031210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1056810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1082410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1108010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1133610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1159210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1184810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1210410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1236010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1261610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1287210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1312810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1338410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1364010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1389610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1415210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1440810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1466410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1492010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1517610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1543210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1568810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1594410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1620010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1645610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1671210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1696810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1722410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1748010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1773610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 1799210000, A write address: 10, B  read address: 10
